Generation,Mean Fitness,Best Fitness
1,184.466,111.033
2,188.773,103.155
3,181.048,93.2847
4,167.365,86.9672
5,153.02,78.5696
6,138.35,72.8284
7,125.322,65.7288
8,112.427,60.3462
9,101.018,55.3154
10,91.4541,50.438
11,83.5767,47.155
12,76.4135,44.7917
13,69.8362,39.9411
14,64.3713,36.4233
15,59.2453,34.1279
16,54.5817,32.0929
17,49.9613,28.9149
18,46.2953,27.5523
19,42.8843,26.1516
20,40.2707,24.4791
21,37.7448,23.3445
22,35.3584,22.4509
23,33.1275,21.6262
24,31.5901,21.3271
25,29.9222,20.392
26,28.4409,19.894
27,27.3691,19.1855
28,26.3987,18.675
29,25.5383,18.3101
30,24.7763,17.9697
31,23.9169,17.51
32,23.2742,17.25
33,22.7593,16.9825
34,22.3,16.6852
35,21.8132,16.496
36,21.4378,16.2796
37,21.009,16.1706
38,20.6628,16.0292
39,20.4605,15.8655
40,20.0611,15.6976
41,19.9698,15.5715
42,19.675,15.3729
43,19.3308,15.2942
44,19.1917,15.1635
45,19.1495,15.0731
46,18.9315,15.0076
47,18.6497,14.9171
48,18.5768,14.8225
49,18.5125,14.7653
50,18.3866,14.6852
