Generation,Mean Fitness,Best Fitness
1,24.955,29.4575
2,26.0387,30.0774
3,26.9604,30.6794
4,27.7936,31.1737
5,28.5628,31.6589
6,29.2559,32.197
7,29.9232,32.8413
8,30.5696,33.357
9,31.2097,33.9634
10,31.8191,34.4625
11,32.3518,34.9087
12,32.8692,35.3887
13,33.3687,35.7457
14,33.8202,36.1379
15,34.2811,36.4178
16,34.7158,36.7633
17,35.1339,37.1907
18,35.5269,37.4807
19,35.8873,37.8142
20,36.2597,38.1024
21,36.6299,38.3903
22,36.9591,38.7095
23,37.291,39.0578
24,37.623,39.353
25,37.9397,39.6329
26,38.2404,39.9487
27,38.5339,40.2111
28,38.8216,40.4634
29,39.112,40.7318
30,39.3947,40.9655
31,39.6589,41.1999
32,39.92,41.4423
33,40.1571,41.6753
34,40.4072,41.9283
35,40.6521,42.1085
36,40.9153,42.3654
37,41.1499,42.5562
38,41.3737,42.7961
39,41.5944,42.9754
40,41.8071,43.1645
41,42.0232,43.3913
42,42.2424,43.5848
43,42.471,43.7854
44,42.633,43.9593
45,42.8325,44.1399
46,43.0263,44.268
47,43.2157,44.4489
48,43.395,44.6205
49,43.5776,44.7641
50,43.7392,44.9212
51,43.9004,45.112
52,44.0617,45.2912
53,44.2312,45.4327
54,44.4012,45.6072
55,44.574,45.7468
56,44.7222,45.8656
57,44.8745,46.0152
58,45.0334,46.1113
59,45.1897,46.2611
60,45.3399,46.3843
61,45.4719,46.4777
62,45.5938,46.6477
63,45.7234,46.7634
64,45.8548,46.8573
65,45.9784,46.9765
66,46.0776,47.0803
67,46.196,47.1734
68,46.3179,47.254
69,46.4259,47.3509
70,46.5257,47.4355
71,46.6205,47.5149
72,46.7229,47.6278
73,46.8386,47.7021
74,46.9437,47.7875
75,47.0314,47.8754
76,47.1161,47.9591
77,47.2001,48.0408
78,47.2741,48.1121
79,47.3568,48.1757
80,47.4411,48.2404
81,47.5346,48.3104
82,47.6165,48.3856
83,47.699,48.4614
84,47.7739,48.5373
85,47.8514,48.6096
86,47.9226,48.6549
87,47.9996,48.7258
88,48.0661,48.7764
89,48.0982,48.8215
90,48.1815,48.9053
91,48.2635,48.964
92,48.3136,48.9957
93,48.367,49.0414
94,48.4228,49.1027
95,48.5021,49.1479
96,48.5473,49.1868
97,48.6071,49.2115
98,48.6513,49.2571
99,48.6909,49.3184
100,48.7332,49.3438
101,48.784,49.3798
102,48.8489,49.4165
103,48.8779,49.4449
104,48.9077,49.4746
105,48.9606,49.4994
106,48.9834,49.5212
107,49.0114,49.5483
108,49.044,49.5762
109,49.0792,49.6035
110,49.1279,49.6283
111,49.1304,49.6479
112,49.1552,49.6667
113,49.1843,49.694
114,49.1935,49.7101
115,49.2345,49.7284
116,49.2555,49.749
117,49.2771,49.7684
118,49.2897,49.7848
119,49.324,49.8011
120,49.3491,49.8161
121,49.3683,49.8311
122,49.3846,49.842
123,49.4034,49.8514
124,49.4244,49.8618
125,49.4393,49.8734
126,49.4583,49.8822
127,49.4748,49.8919
128,49.4802,49.9003
129,49.4924,49.9098
130,49.5106,49.9189
131,49.5197,49.9252
132,49.5368,49.9296
133,49.5299,49.9362
134,49.5421,49.9441
135,49.5542,49.9483
136,49.5671,49.9515
137,49.5615,49.952
138,49.5639,49.9553
139,49.5832,49.9637
140,49.5943,49.9664
141,49.5958,49.9668
142,49.6019,49.9708
143,49.6102,49.9746
144,49.6119,49.9798
145,49.5951,49.9791
146,49.6027,49.981
147,49.6053,49.9817
148,49.6261,49.9833
149,49.6359,49.9844
150,49.6304,49.9841
151,49.6275,49.9885
152,49.6317,49.9889
153,49.6367,49.9901
154,49.6375,49.9913
155,49.6342,49.9934
156,49.637,49.994
157,49.6406,49.9962
158,49.65,49.9963
159,49.6429,49.9966
160,49.6455,49.9967
161,49.6535,49.9978
162,49.645,49.9985
163,49.6442,49.999
164,49.6607,49.9989
165,49.6323,49.9994
166,49.6534,49.9994
167,49.6569,49.9994
168,49.657,49.9995
169,49.6625,49.9995
170,49.6543,49.9995
171,49.6527,49.9996
172,49.6394,49.9995
173,49.6402,49.9999
174,49.6565,49.9999
175,49.6564,50
176,49.6411,50
177,49.6627,50
178,49.6482,50
179,49.65,50
180,49.6557,50
181,49.6556,50
182,49.6596,50
183,49.6516,50
184,49.6704,50
185,49.6621,50
186,49.6533,50
187,49.6522,50
188,49.6616,50
189,49.6723,50
190,49.6688,50
191,49.672,50
192,49.6666,50
193,49.6642,50
194,49.6434,50
195,49.6443,50
196,49.6469,50
197,49.6641,50
198,49.6634,50
199,49.66,50
200,49.6581,50
201,49.6537,50
202,49.6499,50
203,49.6453,50
204,49.656,50
205,49.6656,50
206,49.6606,50
207,49.6589,50
208,49.6556,50
209,49.6594,50
210,49.6607,50
211,49.6576,50
212,49.6458,50
213,49.6597,50
214,49.6508,50
215,49.6383,50
216,49.6507,50
217,49.6632,50
218,49.672,50
219,49.6603,50
220,49.6455,50
221,49.6691,50
222,49.6598,50
223,49.662,50
224,49.6652,50
225,49.6641,50
226,49.6602,50
227,49.6683,50
228,49.658,50
229,49.6502,50
230,49.6459,50
231,49.6581,50
232,49.6598,50
233,49.6558,50
234,49.6464,50
235,49.6494,50
236,49.6456,50
237,49.6443,50
238,49.6589,50
239,49.6709,50
240,49.6486,50
241,49.6376,50
242,49.6423,50
243,49.6498,50
244,49.6603,50
245,49.676,50
246,49.6522,50
247,49.6601,50
248,49.6512,50
249,49.6491,50
250,49.638,50
