Generation,Mean Fitness,Best Fitness
1,6.49443,84.9188
2,59.3781,94.7632
3,70.9977,99.8508
4,77.1577,104.831
5,84.8273,114.289
6,84.5316,110.698
7,85.3762,107.571
8,86.2743,105.794
9,87.8518,105.794
10,89.1744,109.265
11,90.4919,114.263
12,90.4677,112.871
13,90.5841,117.66
14,92.1497,121.104
15,94.3677,117.145
16,96.6474,120.371
17,96.9891,117.809
18,95.3024,119.116
19,94.6811,115.058
20,96.4535,113.968
21,96.7575,113.409
22,96.9314,118.599
23,97.033,112.395
24,95.6989,112.918
25,98.0674,110.897
26,99.3859,114.726
27,100.839,117.832
28,100.413,124.048
29,100.744,120.951
30,101.709,120.951
31,100.676,116.296
32,101.337,118.105
33,101.281,116.944
34,102.175,116.676
35,103.035,118.523
36,101.926,117.942
37,104.582,120.895
38,107.229,120.895
39,108.234,118.085
40,108.055,116.712
41,108.666,118.085
42,109.889,116.542
43,109.934,118.255
44,110.718,122.849
45,111.789,122.844
46,112.247,120.48
47,112.011,118.838
48,111.028,126.515
49,110.583,120.132
50,111.68,120.132
