Generation,Mean Fitness,Best Fitness
1,-1.66025,-1.48591
2,-1.43971,-2.44356
3,-1.24699,-1.31049
4,-1.15097,-1.46219
5,-1.0483,-1.05011
6,-0.977448,-0.774845
7,-0.891153,-1.03121
8,-0.818284,-0.790581
9,-0.778713,-0.748144
10,-0.734982,-0.739747
11,-0.697082,-0.706134
12,-0.677091,-0.460338
13,-0.652627,-0.678917
14,-0.615661,-0.606421
15,-0.581608,-0.610903
16,-0.554354,-0.548153
17,-0.529435,-0.51281
18,-0.508244,-0.485563
19,-0.504933,-0.619881
20,-0.489565,-0.486212
21,-0.475757,-0.460338
22,-0.45749,-0.474178
23,-0.44667,-0.460338
24,-0.438689,-0.533834
25,-0.423449,-0.404221
26,-0.412223,-0.408186
27,-0.409627,-0.404221
28,-0.409315,-0.404221
29,-0.403048,-0.397487
30,-0.410585,-0.393099
31,-0.399899,-0.393099
32,-0.396083,-0.393099
33,-0.394179,-0.393099
34,-0.394364,-0.393099
35,-0.397433,-0.393099
36,-0.398949,-0.393099
37,-0.399908,-0.393099
38,-0.397412,-0.393099
39,-0.401599,-0.392881
40,-0.402198,-0.393099
41,-0.393559,-0.393099
42,-0.397205,-0.392881
43,-0.398913,-0.392881
44,-0.406047,-0.392881
45,-0.403588,-0.392881
46,-0.401046,-0.392881
47,-0.399807,-0.392881
48,-0.400783,-0.477185
49,-0.400608,-0.385722
50,-0.392867,-0.385722
