Generation,Mean Fitness,Best Fitness
1,372.207,278.521
2,348.65,268.365
3,326.614,247.18
4,307.588,236.864
5,289.979,229.098
6,272.999,214.712
7,258.234,202.332
8,244.468,197.445
9,231.612,184.492
10,220.388,180.155
11,209.454,170.686
12,198.764,161.2
13,189.945,155.946
14,181.545,151.435
15,172.888,142.845
16,165.508,139.213
17,160.347,140.596
18,154.811,134.582
19,149.509,131.876
20,145.187,130.836
21,141.389,127.97
22,137.82,126.856
23,134.555,127.419
24,132.192,125.832
25,130.356,124.296
26,128.637,123.629
27,127.496,122.833
28,126.453,122.812
29,125.244,122.812
30,124.232,122.812
31,123.605,122.812
32,123.307,122.812
33,123.125,122.812
34,123.109,122.812
35,122.974,122.812
36,122.849,122.812
37,122.812,122.812
38,122.812,122.812
39,122.812,122.812
40,122.812,122.812
41,122.812,122.812
42,122.812,122.812
43,122.812,122.812
44,122.84,122.812
45,122.812,122.812
46,122.835,122.253
47,122.812,122.812
48,122.812,122.812
49,122.812,122.812
50,122.812,122.812
