Generation,Mean Fitness,Best Fitness
1,-1.50871,-1.90393
2,-1.55099,-1.90745
3,-1.58675,-1.91215
4,-1.61936,-1.9326
5,-1.65089,-1.95104
6,-1.6804,-1.97075
7,-1.71017,-1.98848
8,-1.73938,-2.01334
9,-1.76765,-2.02479
10,-1.79595,-2.05013
11,-1.82398,-2.07226
12,-1.85111,-2.09146
13,-1.87858,-2.11263
14,-1.90572,-2.13588
15,-1.93248,-2.1547
16,-1.95861,-2.18571
17,-1.98567,-2.21121
18,-2.01159,-2.23087
19,-2.0369,-2.26082
20,-2.06181,-2.27793
21,-2.08662,-2.30717
22,-2.11026,-2.33154
23,-2.13392,-2.35287
24,-2.15648,-2.37082
25,-2.17913,-2.39551
26,-2.2004,-2.40728
27,-2.22056,-2.4232
28,-2.23899,-2.44092
29,-2.25722,-2.4587
30,-2.27415,-2.47619
31,-2.29056,-2.49106
32,-2.3058,-2.50274
33,-2.32006,-2.51774
34,-2.33294,-2.5246
35,-2.3451,-2.53923
36,-2.35728,-2.54953
37,-2.36858,-2.56155
38,-2.37861,-2.56599
39,-2.38703,-2.575
40,-2.39545,-2.57972
41,-2.40295,-2.58783
42,-2.40999,-2.59243
43,-2.41596,-2.59751
44,-2.42174,-2.60471
45,-2.42761,-2.60761
46,-2.43261,-2.61315
47,-2.43656,-2.61832
48,-2.44006,-2.62281
49,-2.44341,-2.62382
50,-2.44633,-2.63018
