Generation,Mean Fitness,Best Fitness
1,372.391,269.07
2,350.605,255.462
3,324.091,246.709
4,302.928,233.857
5,285.3,226.663
6,270.871,221.204
7,258.232,199.36
8,245.59,192.949
9,232.273,187.311
10,219.656,177.239
11,209.525,174.993
12,199.682,163.803
13,189.172,159.617
14,181.065,153.957
15,173.792,147.872
16,166.597,141.81
17,161.523,141.249
18,156.391,137.284
19,151.395,134.884
20,147.422,132.871
21,143.529,131.356
22,140.14,130.937
23,137.198,129.258
24,134.614,128.642
25,132.762,128.197
26,131.66,128.016
27,130.523,127.213
28,129.62,127.111
29,128.912,126.872
30,128.403,126.872
31,128.044,126.32
32,127.749,125.884
33,127.284,126.625
34,127.027,126.625
35,126.791,126.099
36,126.683,125.884
37,126.57,125.884
38,126.555,125.884
39,126.546,125.884
40,126.462,125.884
41,126.299,125.884
42,126.136,125.884
43,126.077,125.884
44,125.927,125.884
45,125.919,125.884
46,125.887,125.884
47,125.884,125.884
48,125.884,125.884
49,125.884,125.884
50,125.884,125.884
