Generation,Mean Fitness,Best Fitness
1,185.391,77.9265
2,167.731,70.4928
3,152.199,63.4936
4,138.107,54.1344
5,124.682,45.9855
6,112.249,41.3111
7,100.762,35.7195
8,90.1076,31.9317
9,80.1629,27.9141
10,71.019,19.8105
11,62.5511,18.8324
12,54.9184,16.2615
13,47.9653,13.7196
14,41.9078,12.0431
15,36.5777,10.4531
16,31.9063,9.78633
17,27.8994,8.91905
18,24.4777,6.87156
19,21.4335,6.36396
20,18.8162,5.60404
21,16.571,5.00867
22,14.5611,4.18289
23,12.8592,3.67506
24,11.3058,2.93933
25,9.9887,2.46306
26,8.8374,2.18519
27,7.81601,1.84956
28,6.96647,1.5599
29,6.13389,1.15791
30,5.386,0.947148
31,4.70266,0.756424
32,4.12434,0.670277
33,3.57965,0.542959
34,3.05478,0.504009
35,2.63455,0.460096
36,2.31273,0.416777
37,2.03936,0.391229
38,1.78583,0.336255
39,1.60278,0.285348
40,1.47838,0.275934
41,1.33937,0.259872
42,1.22552,0.235633
43,1.13862,0.219344
44,1.07175,0.214639
45,1.04739,0.200439
46,0.976448,0.186443
47,0.939325,0.17575
48,0.911016,0.163512
49,0.898333,0.143423
50,0.841869,0.142229
51,0.834389,0.130022
52,0.834156,0.129042
53,0.809834,0.123089
54,0.808344,0.120685
55,0.803703,0.118099
56,0.821143,0.11282
57,0.756443,0.114709
58,0.756578,0.104012
59,0.731472,0.0948799
60,0.751218,0.0934944
61,0.733793,0.0894867
62,0.725632,0.0850601
63,0.715781,0.0826012
64,0.721617,0.081562
65,0.739328,0.0809273
66,0.721711,0.0802834
67,0.723762,0.0787712
68,0.699654,0.0765747
69,0.71682,0.0735085
70,0.71439,0.072863
71,0.696902,0.0725853
72,0.693938,0.0723106
73,0.654538,0.0692062
74,0.689325,0.0688843
75,0.692373,0.0687149
76,0.657721,0.068618
77,0.708819,0.0661575
78,0.708879,0.0661575
79,0.707946,0.0661568
80,0.685134,0.0656532
81,0.719893,0.0627625
82,0.706228,0.0640015
83,0.690994,0.0635803
84,0.670383,0.0635414
85,0.638164,0.0636932
86,0.675867,0.0632759
87,0.658613,0.0629913
88,0.681486,0.0625587
89,0.682636,0.0613243
90,0.701565,0.0610565
91,0.67905,0.0612923
92,0.652561,0.0602104
93,0.669862,0.0602646
94,0.695146,0.060244
95,0.669874,0.0599579
96,0.682989,0.0598991
97,0.648612,0.0595001
98,0.662502,0.0594841
99,0.677577,0.0594925
100,0.644338,0.0594742
