Generation,Mean Fitness,Best Fitness
1,-1.55684,-2.93352
2,-1.6967,-3.00655
3,-1.83756,-3.20674
4,-1.9738,-3.4786
5,-2.12102,-4.07474
6,-2.27774,-4.59805
7,-2.44709,-4.93834
8,-2.62805,-5.13228
9,-2.82486,-5.48976
10,-3.03616,-5.74078
11,-3.27426,-6.22883
12,-3.52782,-6.4335
13,-3.80421,-7.21078
14,-4.08885,-7.55299
15,-4.39065,-7.87025
16,-4.70318,-8.26544
17,-5.01418,-8.8303
18,-5.33269,-8.92508
19,-5.66112,-9.35346
20,-5.98004,-9.83502
21,-6.31545,-10.3289
22,-6.65153,-10.311
23,-6.98299,-10.84
24,-7.31731,-11.0571
25,-7.67759,-11.5107
26,-8.03957,-11.9323
27,-8.38654,-12.0901
28,-8.71692,-12.241
29,-9.02358,-12.6807
30,-9.33937,-13.0477
31,-9.65739,-13.2687
32,-9.99145,-13.5086
33,-10.2911,-13.7843
34,-10.5958,-14.0159
35,-10.8689,-14.2619
36,-11.1388,-14.4287
37,-11.4045,-14.6009
38,-11.6756,-14.9258
39,-11.8796,-14.9782
40,-12.1221,-15.2313
41,-12.364,-15.4712
42,-12.5765,-15.663
43,-12.7682,-15.7049
44,-12.9745,-15.9786
45,-13.1339,-16.1651
46,-13.3065,-16.2914
47,-13.4632,-16.3864
48,-13.6897,-16.4566
49,-13.8069,-16.5829
50,-14.0026,-16.6768
51,-14.1734,-16.9329
52,-14.3114,-16.977
53,-14.4707,-17.0504
54,-14.6364,-17.2625
55,-14.8049,-17.3025
56,-14.9068,-17.4211
57,-14.9836,-17.5147
58,-15.1065,-17.601
59,-15.2595,-17.7671
60,-15.4199,-17.8413
61,-15.4703,-17.8461
62,-15.5213,-17.9459
63,-15.6834,-17.979
64,-15.7183,-18.0497
65,-15.7801,-18.1299
66,-15.9538,-18.1866
67,-15.8967,-18.2096
68,-16.0375,-18.2705
69,-16.1045,-18.3315
70,-16.1944,-18.4026
71,-16.263,-18.4685
72,-16.3128,-18.4978
73,-16.4149,-18.5229
74,-16.4706,-18.5659
75,-16.4861,-18.6363
76,-16.5709,-18.6847
77,-16.6063,-18.6997
78,-16.6779,-18.7646
79,-16.8039,-18.8267
80,-16.8099,-18.884
81,-16.7846,-18.9333
82,-16.8535,-18.9583
83,-16.9044,-19.0327
84,-16.9513,-19.0726
85,-16.9888,-19.1086
86,-17.0078,-19.1106
87,-16.9983,-19.1522
88,-17.14,-19.182
89,-17.189,-19.2314
90,-17.2569,-19.2376
91,-17.1537,-19.2526
92,-17.2153,-19.3118
93,-17.3019,-19.3238
94,-17.2874,-19.3551
95,-17.4218,-19.3919
96,-17.4922,-19.4289
97,-17.4429,-19.4501
98,-17.4796,-19.4652
99,-17.5941,-19.481
100,-17.6504,-19.5164
101,-17.5936,-19.5371
102,-17.5931,-19.5527
103,-17.6298,-19.5593
104,-17.5762,-19.5847
105,-17.6586,-19.6074
106,-17.6211,-19.6339
107,-17.6377,-19.6392
108,-17.6611,-19.6575
109,-17.6994,-19.6608
110,-17.7957,-19.6746
111,-17.8182,-19.6842
112,-17.8196,-19.6907
113,-17.7747,-19.704
114,-17.7606,-19.7149
115,-17.9092,-19.7177
116,-17.8209,-19.7278
117,-17.9348,-19.7314
118,-18.0108,-19.7318
119,-17.9277,-19.7369
120,-17.9483,-19.74
121,-17.9282,-19.7417
122,-17.8871,-19.7435
123,-17.9454,-19.7462
124,-17.9272,-19.7487
125,-17.9373,-19.7519
126,-17.9674,-19.7532
127,-17.9859,-19.755
128,-17.9914,-19.7557
129,-17.9023,-19.757
130,-17.9447,-19.7587
131,-17.9538,-19.7592
132,-17.936,-19.7616
133,-17.9543,-19.7635
134,-18.0249,-19.7653
135,-18.0122,-19.766
136,-18.0111,-19.7667
137,-18.0548,-19.7684
138,-17.9776,-19.77
139,-18.0155,-19.77
140,-17.9579,-19.7714
141,-17.9958,-19.7717
142,-18.0718,-19.7733
143,-18.0033,-19.7746
144,-18.1293,-19.7751
145,-18.0107,-19.7752
