Generation,Mean Fitness,Best Fitness
1,0.580649,51.1616
2,6.33792,39.785
3,13.7426,37.6302
4,21.2155,55.8801
5,31.528,59.2293
6,40.6578,73.2732
7,45.9845,68.1221
8,54.7992,85.4998
9,59.7835,92.2919
10,66.4795,88.4543
11,73.5758,97.4945
12,79.0981,100.409
13,86.6379,100.538
14,90.1029,101.644
15,94.6639,103.641
16,96.6207,103.641
17,99.0525,114.632
18,101.782,115.607
19,104.354,124.808
20,107.529,125.124
21,112.793,125.124
22,117.612,126.652
23,121.8,132.384
24,124.239,132.467
25,125.42,132.467
26,126.057,132.467
27,127.021,132.467
28,127.432,132.467
29,128.061,132.467
30,128.396,132.467
31,130.099,132.467
32,131.737,132.467
33,132.466,132.467
34,132.466,132.467
35,132.466,132.467
36,132.466,132.467
37,132.466,132.467
38,132.466,132.467
39,132.466,132.467
40,132.466,132.467
41,132.466,132.467
42,132.466,132.467
43,132.466,132.467
44,132.466,132.467
45,132.476,132.936
46,132.466,132.467
47,132.466,132.467
48,132.466,132.467
49,132.466,132.467
50,132.466,132.467
