Generation,Mean Fitness,Best Fitness
1,185.472,114.088
2,170.891,108.755
3,158.24,101.565
4,146.758,94.63
5,136.462,87.9635
6,126.649,80.6714
7,118.276,75.5397
8,111.012,70.4146
9,103.918,65.9103
10,97.3464,62.2963
11,91.8512,59.2345
12,86.958,55.7015
13,82.0223,52.2783
14,77.3604,49.4688
15,73.6439,48.316
16,70.1301,46.0003
17,67.0735,43.8312
18,64.2435,42.2559
19,61.6102,41.0323
20,59.4609,40.3547
21,57.5236,39.0605
22,55.8743,37.6923
23,54.0174,37.0117
24,52.5433,35.9835
25,51.4507,35.0157
26,49.9704,34.5108
27,48.7189,33.9665
28,47.5215,33.2194
29,46.4874,32.7447
30,45.3494,31.9356
31,44.4321,31.3089
32,43.9216,30.8861
33,43.1564,30.3367
34,42.6974,29.8944
35,41.5274,29.3867
36,41.1377,28.9265
37,40.3633,28.4866
38,39.9633,28.0766
39,39.4439,27.9233
40,38.9892,27.6258
41,38.5479,27.2097
42,38.1063,27.0715
43,38.0765,26.6549
44,38.0575,26.2516
45,37.4026,26.0419
46,36.7197,25.6843
47,36.3093,25.4905
48,35.5784,25.2178
49,35.6186,25.0627
50,35.3863,24.6487
