Generation,Mean Fitness,Best Fitness
1,-1.62724,-6.7629
2,-1.84912,-6.80359
3,-2.08126,-7.57931
4,-2.34084,-9.03431
5,-2.64079,-10.0114
6,-2.98494,-10.9744
7,-3.38487,-10.5948
8,-3.84616,-11.2461
9,-4.36634,-12.3917
10,-4.92874,-12.6675
11,-5.53647,-13.4742
12,-6.18007,-13.9095
13,-6.85083,-14.6468
14,-7.52711,-15.2152
15,-8.22212,-15.6746
16,-8.90759,-15.8344
17,-9.59499,-16.6271
18,-10.2665,-17.0624
19,-10.9251,-17.2502
20,-11.5549,-17.6233
21,-12.1655,-18.0209
22,-12.7513,-18.3524
23,-13.3323,-18.7491
24,-13.8665,-19.0715
25,-14.374,-19.1456
26,-14.8558,-19.3525
27,-15.3078,-19.5671
28,-15.7395,-19.8345
29,-16.1485,-20.2629
30,-16.509,-20.2885
31,-16.8603,-20.3796
32,-17.1843,-20.6427
33,-17.5352,-20.9269
34,-17.812,-21.0017
35,-18.0888,-21.2166
36,-18.3502,-21.5532
37,-18.5782,-21.753
38,-18.7762,-21.8587
39,-19.0116,-21.999
40,-19.2266,-22.1248
41,-19.4246,-22.2347
42,-19.6481,-22.2865
43,-19.8849,-22.3608
44,-20.1187,-22.3884
45,-20.3299,-22.4133
46,-20.5291,-22.4384
47,-20.7427,-22.4619
48,-20.8919,-22.4695
49,-21.0312,-22.4882
50,-21.1142,-22.495
