Generation,Mean Fitness,Best Fitness
1,-1.62529,-4.26079
2,-1.82296,-4.56365
3,-2.01514,-5.01999
4,-2.20644,-5.60472
5,-2.4102,-6.08838
6,-2.62929,-6.68134
7,-2.86755,-7.27009
8,-3.12907,-7.75072
9,-3.41979,-8.42388
10,-3.73626,-8.98056
11,-4.07627,-9.5072
12,-4.43365,-9.987
13,-4.8002,-10.3397
14,-5.18304,-10.9193
15,-5.56698,-11.3469
16,-5.94819,-11.8006
17,-6.35574,-12.3375
18,-6.75584,-12.7379
19,-7.15233,-13.0289
20,-7.55054,-13.4573
21,-7.96302,-13.8919
22,-8.38254,-14.2468
23,-8.74963,-14.5865
24,-9.12799,-14.9364
25,-9.53027,-15.267
26,-9.91344,-15.5778
27,-10.2821,-15.8429
28,-10.6298,-16.0314
29,-10.9456,-16.2415
30,-11.2725,-16.4677
31,-11.5472,-16.6809
32,-11.8188,-16.8409
33,-12.0841,-16.9784
34,-12.3852,-17.1632
35,-12.6336,-17.3117
36,-12.8396,-17.4569
37,-13.0658,-17.5647
38,-13.2846,-17.7149
39,-13.4523,-17.8238
40,-13.629,-17.9645
41,-13.8014,-18.0954
42,-13.9714,-18.1976
43,-14.1505,-18.298
44,-14.2843,-18.4008
45,-14.3854,-18.5107
46,-14.5297,-18.5871
47,-14.618,-18.7037
48,-14.7517,-18.7913
49,-14.9049,-18.9084
50,-15.021,-19.0008
51,-15.0884,-19.0771
52,-15.2016,-19.1615
53,-15.293,-19.2635
54,-15.398,-19.3753
55,-15.5,-19.4402
56,-15.6,-19.5366
57,-15.7004,-19.6087
58,-15.784,-19.7256
59,-15.8789,-19.7957
60,-15.9949,-19.8714
61,-16.0943,-19.9212
62,-16.1266,-20.0149
63,-16.2186,-20.0574
64,-16.29,-20.126
65,-16.3858,-20.1943
66,-16.4569,-20.2543
67,-16.5743,-20.3085
68,-16.6299,-20.342
69,-16.7335,-20.3895
70,-16.7595,-20.4253
71,-16.8428,-20.4576
72,-16.8859,-20.4964
73,-16.937,-20.5249
74,-17.0209,-20.5538
75,-17.091,-20.5907
76,-17.1345,-20.6143
77,-17.1667,-20.6275
78,-17.1912,-20.6462
79,-17.2154,-20.6743
80,-17.231,-20.6905
81,-17.3243,-20.7028
82,-17.3735,-20.7145
83,-17.3441,-20.723
84,-17.376,-20.7346
85,-17.4342,-20.7453
86,-17.4306,-20.7521
87,-17.4781,-20.7581
88,-17.4897,-20.761
89,-17.4427,-20.7677
90,-17.4637,-20.773
91,-17.54,-20.7796
92,-17.5144,-20.7833
93,-17.5365,-20.7878
94,-17.5539,-20.7891
95,-17.6146,-20.7928
96,-17.6335,-20.7952
97,-17.5836,-20.7971
98,-17.5723,-20.7997
99,-17.6011,-20.8019
100,-17.6732,-20.8032
101,-17.6373,-20.8045
102,-17.6141,-20.8061
103,-17.5819,-20.8085
104,-17.6401,-20.8099
105,-17.6464,-20.8109
106,-17.6361,-20.8125
107,-17.6093,-20.8144
108,-17.6048,-20.8145
109,-17.5796,-20.8161
110,-17.5901,-20.8162
111,-17.6169,-20.8172
112,-17.6148,-20.8178
113,-17.648,-20.8183
114,-17.6559,-20.8187
115,-17.6695,-20.8193
116,-17.6748,-20.82
117,-17.6604,-20.8206
118,-17.6425,-20.8213
119,-17.5915,-20.8215
120,-17.6424,-20.8219
121,-17.7057,-20.8224
122,-17.6978,-20.8231
123,-17.6839,-20.8235
124,-17.652,-20.8237
125,-17.6858,-20.8243
126,-17.6917,-20.8243
127,-17.6549,-20.8245
128,-17.6552,-20.8248
129,-17.6294,-20.825
130,-17.6107,-20.8253
131,-17.6132,-20.8253
132,-17.6022,-20.8255
133,-17.6566,-20.8255
134,-17.6818,-20.8257
135,-17.6789,-20.8257
136,-17.6817,-20.8259
137,-17.6961,-20.826
138,-17.7062,-20.8262
139,-17.6618,-20.8263
140,-17.6294,-20.8264
141,-17.6774,-20.8264
142,-17.6305,-20.8265
143,-17.6685,-20.8265
144,-17.6712,-20.8266
145,-17.6392,-20.8267
146,-17.6833,-20.8268
147,-17.6405,-20.8268
148,-17.6723,-20.8268
149,-17.7108,-20.8269
150,-17.7017,-20.8269
151,-17.6737,-20.8269
152,-17.6508,-20.827
153,-17.594,-20.827
154,-17.6335,-20.827
155,-17.6152,-20.8271
156,-17.6469,-20.8271
157,-17.608,-20.8271
158,-17.6657,-20.8271
159,-17.6243,-20.8271
160,-17.6528,-20.8272
161,-17.6363,-20.8272
162,-17.6077,-20.8272
163,-17.6677,-20.8272
164,-17.6703,-20.8273
165,-17.6658,-20.8273
166,-17.6648,-20.8272
167,-17.6438,-20.8273
168,-17.6464,-20.8273
169,-17.6394,-20.8273
170,-17.5862,-20.8273
171,-17.6123,-20.8273
172,-17.6631,-20.8273
173,-17.7099,-20.8274
174,-17.7181,-20.8274
175,-17.6324,-20.8274
176,-17.649,-20.8274
177,-17.6723,-20.8274
178,-17.6943,-20.8274
179,-17.6662,-20.8274
180,-17.6404,-20.8274
181,-17.6752,-20.8274
182,-17.7246,-20.8274
183,-17.7132,-20.8274
184,-17.6128,-20.8275
185,-17.6682,-20.8274
186,-17.6947,-20.8275
187,-17.6582,-20.8274
188,-17.6136,-20.8275
189,-17.6525,-20.8275
190,-17.6704,-20.8275
191,-17.6453,-20.8275
192,-17.6434,-20.8275
193,-17.6568,-20.8275
194,-17.6306,-20.8275
195,-17.6853,-20.8275
196,-17.6825,-20.8275
197,-17.6326,-20.8275
198,-17.6541,-20.8275
199,-17.6878,-20.8275
200,-17.6162,-20.8275
201,-17.6192,-20.8275
202,-17.6902,-20.8275
203,-17.6527,-20.8275
204,-17.6752,-20.8275
205,-17.6807,-20.8275
206,-17.6698,-20.8275
207,-17.6552,-20.8275
208,-17.664,-20.8275
209,-17.6729,-20.8275
210,-17.6687,-20.8275
211,-17.6733,-20.8275
212,-17.6792,-20.8275
213,-17.6948,-20.8275
214,-17.6879,-20.8275
215,-17.6911,-20.8275
216,-17.6813,-20.8275
217,-17.6405,-20.8275
218,-17.6524,-20.8275
219,-17.6322,-20.8275
220,-17.6776,-20.8275
221,-17.6998,-20.8275
222,-17.6398,-20.8275
223,-17.6494,-20.8275
224,-17.6721,-20.8275
225,-17.6697,-20.8275
226,-17.6612,-20.8275
227,-17.6328,-20.8275
228,-17.6495,-20.8275
229,-17.7097,-20.8275
230,-17.6739,-20.8275
231,-17.6362,-20.8275
