Generation,Mean Fitness,Best Fitness
1,25.0422,29.6873
2,26.1955,30.037
3,27.1915,30.599
4,28.0283,31.1271
5,28.8096,31.6392
6,29.5473,32.262
7,30.2514,32.7649
8,30.9246,33.2827
9,31.5245,33.7123
10,32.098,34.131
11,32.6426,34.5294
12,33.1051,34.8662
13,33.5393,35.0659
14,33.9398,35.3609
15,34.3035,35.6449
16,34.6454,35.8807
17,34.9505,36.094
18,35.2486,36.2989
19,35.5175,36.4936
20,35.7628,36.6869
21,35.9892,36.8279
22,36.1946,36.9423
23,36.3872,37.1238
24,36.5711,37.2532
25,36.7384,37.3626
26,36.9003,37.4332
27,37.0406,37.5283
28,37.168,37.5918
29,37.2781,37.6553
30,37.3777,37.7124
31,37.4628,37.7644
32,37.5396,37.7984
33,37.6012,37.8251
34,37.661,37.8705
35,37.7171,37.9024
36,37.7644,37.9299
37,37.8023,37.9528
38,37.8383,37.9698
39,37.871,37.9937
40,37.8989,38.0066
41,37.9204,38.0173
42,37.9427,38.0372
43,37.9624,38.0514
44,37.9806,38.0736
45,37.9983,38.0794
46,38.0165,38.0913
47,38.0323,38.1008
48,38.0492,38.1312
49,38.0641,38.1473
50,38.08,38.1639
