Generation,Mean Fitness,Best Fitness
1,185.513,114.491
2,180.235,114.41
3,175.634,109.892
4,172.365,107.423
5,170.386,103.074
6,167.668,102.31
7,165.613,100.376
8,162.474,95.7287
9,160.608,94.9027
10,159.133,93.8
11,157.091,92.1159
12,155.756,89.2265
13,153.972,87.0203
14,151.58,86.0049
15,150.002,83.4639
16,148.968,82.3498
17,147.872,81.6099
18,146.517,80.92
19,145.137,78.1039
20,143.238,77.9145
21,142.386,76.2672
22,141.338,74.1535
23,140.511,75.7403
24,139.007,73.9717
25,137.965,73.8807
26,137.766,71.8196
27,137.019,70.6859
28,136.976,68.811
29,136.694,68.15
30,135.452,69.5505
31,134.208,68.3274
32,133.234,66.7033
33,132.352,65.3309
34,132.568,67.2547
35,132.659,66.4885
36,132.222,65.1564
37,131.501,64.4955
38,130.847,63.586
39,129.759,61.694
40,129.89,61.7636
41,128.668,61.4712
42,128.554,60.5629
43,127.673,60.3108
44,128.037,59.7719
45,127.105,60.489
46,127.479,61.3124
47,127.679,62.1344
48,127.651,60.0658
49,126.838,57.9374
50,125.576,58.3652
