Generation,Mean Fitness,Best Fitness
1,184.864,89.8587
2,169.27,81.4219
3,155.451,67.8896
4,143.105,66.6191
5,132.184,62.436
6,122.331,55.0544
7,112.475,50.734
8,103.997,46.1197
9,95.4191,42.1047
10,88.5279,32.9928
11,81.4302,30.2836
12,74.71,28.988
13,68.5781,25.7025
14,62.6366,22.9338
15,57.8599,19.8268
16,53.4128,18.6634
17,49.656,16.9074
18,45.9805,14.7772
19,42.7578,13.2755
20,39.8578,12.4898
21,37.0333,12.3256
22,34.4442,10.9715
23,32.5177,10.8345
24,30.5006,9.89911
25,28.6476,9.46072
26,27.1597,9.2256
27,25.1767,8.52404
28,24.14,7.85071
29,22.7765,7.26188
30,21.3612,7.31688
31,20.516,6.95605
32,19.8903,6.51848
33,19.5981,5.9901
34,18.8252,6.06161
35,17.9226,5.45614
36,17.142,5.48536
37,16.671,5.32393
38,16.0783,4.91391
39,16.162,4.95165
40,15.7579,4.45056
41,15.254,4.2729
42,14.9218,4.16298
43,14.4148,3.94893
44,14.3247,3.82976
45,14.3641,3.6404
46,13.9528,3.36468
47,13.4088,3.19602
48,13.1427,3.13941
49,12.8491,3.0487
50,12.5101,2.96926
51,12.3338,2.91644
52,12.4603,2.73416
53,12.1195,2.77994
54,11.8856,2.67775
55,11.3646,2.46058
56,11.3316,2.435
57,11.1803,2.35089
58,11.1417,2.23589
59,11.0168,2.06501
60,11.1973,2.05626
61,10.7087,1.85747
62,10.3887,1.9428
63,10.1339,1.88015
64,10.1648,1.804
65,10.1894,1.80069
66,10.0179,1.79113
67,10.152,1.7167
68,10.1195,1.73056
69,10.2562,1.68876
70,9.86551,1.64357
71,10.5247,1.54622
72,9.84865,1.61441
73,9.6509,1.5492
74,9.95783,1.5617
75,9.74511,1.57899
76,10.0425,1.55584
77,9.77974,1.55149
78,9.72759,1.53679
79,9.62794,1.51872
80,9.63523,1.51308
81,9.57752,1.47145
82,9.40425,1.48976
83,9.13532,1.46088
84,9.28851,1.45216
85,9.44575,1.43905
86,9.69899,1.41366
87,9.5012,1.42037
88,9.3149,1.42109
89,8.94742,1.41188
90,8.99229,1.40407
91,9.47297,1.3928
92,9.11676,1.38397
93,9.11152,1.37584
94,9.09546,1.3669
95,9.27961,1.37428
96,9.66706,1.35546
97,9.50601,1.36709
98,9.50049,1.3572
99,9.38581,1.36419
100,9.28413,1.35317
101,8.95825,1.34599
102,9.54723,1.34816
103,9.42506,1.34698
104,9.11742,1.34226
105,9.47988,1.33911
106,9.44639,1.34041
107,9.71588,1.34216
108,9.51086,1.34185
109,9.34133,1.34002
110,9.6412,1.32972
111,9.1108,1.32552
112,9.60021,1.3244
113,9.1061,1.32504
114,9.12413,1.32324
115,9.24253,1.32355
116,9.15471,1.32179
117,9.05224,1.32113
118,9.07125,1.31934
119,8.8964,1.31932
120,9.16642,1.31808
121,9.16589,1.31796
122,9.34736,1.31798
123,9.13701,1.3178
124,8.99314,1.31776
125,9.04683,1.31634
126,9.33945,1.31627
127,9.2892,1.31498
128,9.16553,1.3145
129,8.98443,1.3145
130,9.0875,1.31561
131,9.03675,1.3156
132,9.09292,1.31497
133,8.8206,1.31497
134,8.80311,1.31497
135,8.90787,1.31257
136,8.90394,1.31462
137,9.20572,1.31497
138,9.20902,1.31497
139,9.09123,1.31251
140,9.17303,1.31264
141,9.41496,1.31495
142,9.17962,1.31497
143,8.87833,1.31497
144,9.10247,1.31424
145,9.17238,1.31424
146,9.06356,1.31406
147,9.20946,1.31405
148,8.81947,1.31406
149,9.27746,1.31406
150,9.40639,1.31424
151,9.63279,1.31251
152,9.37637,1.31363
153,9.23029,1.31363
154,9.24503,1.31352
155,9.24161,1.31363
156,8.93802,1.31363
157,9.15784,1.31368
158,8.8994,1.31297
159,9.26707,1.31281
160,8.92279,1.31325
161,8.83273,1.31325
162,9.24098,1.31031
163,9.49192,1.31031
164,9.66192,1.31004
165,9.60416,1.30978
166,9.14055,1.30978
167,9.26084,1.30974
168,9.19821,1.31215
169,9.12929,1.31215
170,8.95848,1.31188
171,9.30854,1.30902
172,9.12025,1.30878
173,9.16548,1.31117
174,9.39944,1.30997
175,9.68364,1.30997
176,9.37285,1.31011
177,9.15566,1.31
178,9.39421,1.30916
179,9.19481,1.30905
180,9.55491,1.30905
181,8.92649,1.30905
182,8.88793,1.30878
183,9.20597,1.30905
184,9.3255,1.30878
185,9.03564,1.30878
186,9.00948,1.30804
187,9.24703,1.30793
188,9.03953,1.30793
189,9.03309,1.30781
190,9.23819,1.30781
191,9.43443,1.30763
192,9.4695,1.30763
193,8.95009,1.30763
194,9.00571,1.30701
195,8.95906,1.30762
