Generation,Mean Fitness,Best Fitness
1,185.17,113.49
2,285.042,138.285
3,389.661,172.874
4,501.594,214.745
5,623.85,272.351
6,752.714,341.106
7,891.264,402.184
8,1033.23,490.01
9,1187.83,588.065
10,1336.59,678.541
11,1494.53,769.206
12,1672.42,894.896
13,1855.33,1035.19
14,2044,1165.9
15,2242.15,1284.2
16,2440.73,1429.29
17,2647.35,1541.28
18,2855.52,1719.86
19,3077.97,1840.68
20,3309.54,2039.79
21,3536.52,2202.02
22,3774.42,2396.58
23,4032.96,2567.68
24,4296.02,2837.19
25,4552.52,3032.58
26,4845.7,3259.22
27,5119.95,3479.61
28,5437.81,3749.33
29,5747.57,3985.77
30,6074.62,4266.76
31,6392.03,4466.51
32,6729.27,4831.85
33,7053.43,5010.66
34,7393.56,5350.04
35,7757.27,5652.87
36,8109.52,5888.61
37,8455.8,6255.97
38,8830.05,6631.41
39,9244.79,6957.2
40,9628.37,7242.29
41,10025.1,7542.86
42,10409,7899.36
43,10838.1,8339.28
44,11265.5,8714.55
45,11716.1,9208.23
46,12203.5,9591.45
47,12661.1,10090.9
48,13145,10408.7
49,13639.1,10853.6
50,14119.5,11336.1
