Generation,Mean Fitness,Best Fitness
1,185.301,114.977
2,168.174,107.712
3,153.177,98.0044
4,139.335,89.786
5,127.197,82.4812
6,115.873,77.4679
7,105.86,70.7235
8,96.4558,65.0066
9,88.3719,59.7745
10,81.1041,55.6771
11,74.5923,51.8532
12,68.6574,48.5167
13,63.4788,46.0975
14,58.8133,43.891
15,54.7626,42.1842
16,51.2425,41.0781
17,48.3439,39.9504
18,45.9259,38.7417
19,43.9306,37.8918
20,42.3203,37.4282
21,41.0278,36.7069
22,39.9876,36.4347
23,38.97,35.966
24,38.1674,35.6873
25,37.5507,35.494
26,37.0522,35.109
27,36.6255,34.903
28,36.2506,34.5271
29,35.9496,34.2348
30,35.7371,34.0269
31,35.4452,33.8994
32,35.3633,33.5047
33,35.0693,33.3994
34,34.7791,33.2898
35,34.4821,32.9601
36,34.1911,32.8604
37,34.0231,32.7259
38,33.7282,32.6884
39,33.4669,32.4963
40,33.3588,32.2564
41,33.0544,32.1015
42,32.9449,31.8644
43,32.9067,31.8735
44,32.7262,31.7263
45,32.5317,31.5164
46,32.4465,31.4168
47,32.3102,31.2816
48,32.1978,31.178
49,32.0075,30.9964
50,31.8241,30.8143
