Generation,Mean Fitness,Best Fitness
1,-1.63269,-3.15683
2,-1.81771,-3.10667
3,-2.0082,-3.41555
4,-2.2024,-3.7285
5,-2.45253,-4.12473
6,-2.74895,-4.83566
7,-2.98471,-5.38857
8,-3.2514,-5.44939
9,-3.5637,-5.74055
10,-3.85536,-6.25581
11,-4.2662,-6.44715
12,-4.63057,-6.87271
13,-4.99692,-7.29983
14,-5.3639,-7.28667
15,-5.76384,-7.5806
16,-6.1311,-7.74316
17,-6.53863,-8.18208
18,-6.77972,-8.2121
19,-6.99191,-8.38136
20,-7.31577,-8.41483
21,-7.54735,-8.47644
22,-7.66336,-8.54604
23,-7.76743,-8.60169
24,-7.87256,-8.61878
25,-7.94324,-8.61868
26,-7.97433,-8.64842
27,-8.10798,-8.66482
28,-8.086,-8.71464
29,-8.10324,-8.76273
30,-8.17749,-8.77197
31,-8.31552,-8.81348
32,-8.35914,-8.85673
33,-8.34215,-8.92111
34,-8.37239,-8.90629
35,-8.45702,-8.93704
36,-8.36296,-9.00461
37,-8.41988,-9.02021
38,-8.45263,-9.01181
39,-8.57996,-9.04962
40,-8.49776,-9.08366
41,-8.62486,-9.12126
42,-8.59125,-9.1855
43,-8.53015,-9.21995
44,-8.67058,-9.22513
45,-8.7682,-9.24875
46,-8.73678,-9.28472
47,-8.77406,-9.28568
48,-8.75549,-9.33514
49,-8.76206,-9.34028
50,-8.81333,-9.3851
51,-8.84575,-9.4423
52,-8.8649,-9.4745
53,-8.86017,-9.49405
54,-9.00989,-9.50159
55,-9.02753,-9.54717
56,-9.00444,-9.58968
57,-8.949,-9.60047
58,-9.08458,-9.61661
59,-9.11853,-9.624
60,-9.05108,-9.6863
61,-9.10228,-9.70483
62,-9.17012,-9.75028
63,-9.11972,-9.77671
64,-9.24282,-9.76972
65,-9.19604,-9.7774
66,-9.19733,-9.77007
67,-9.27618,-9.77962
68,-9.19235,-9.80942
69,-9.49376,-9.85532
70,-9.2706,-9.84377
71,-9.39855,-9.83544
72,-9.39465,-9.86105
73,-9.43018,-9.86797
74,-9.41975,-9.87131
75,-9.29309,-9.91252
76,-9.31624,-9.92208
77,-9.3742,-9.92031
78,-9.47965,-9.95487
79,-9.29641,-9.97612
80,-9.45448,-9.98587
81,-9.39825,-10.0331
82,-9.43918,-10.0609
83,-9.51592,-10.0923
84,-9.42459,-10.0979
85,-9.32689,-10.0955
86,-9.4772,-10.0955
87,-9.50622,-10.1208
88,-9.45418,-10.1384
89,-9.59445,-10.1627
90,-9.68814,-10.1351
91,-9.55908,-10.1786
92,-9.56057,-10.1814
93,-9.65823,-10.2018
94,-9.67845,-10.2041
95,-9.65649,-10.2154
96,-9.63243,-10.2419
97,-9.69295,-10.2512
98,-9.74645,-10.2772
99,-9.77676,-10.2877
100,-9.57034,-10.2716
101,-9.68027,-10.2905
102,-9.89095,-10.3146
103,-9.71122,-10.3392
104,-9.77585,-10.3496
105,-9.73101,-10.3876
106,-9.83153,-10.4015
107,-9.77438,-10.4141
108,-9.78828,-10.412
109,-9.72633,-10.4228
110,-9.81567,-10.4563
111,-9.9356,-10.5053
112,-9.81893,-10.5244
113,-9.96832,-10.5732
114,-9.90847,-10.5938
115,-9.92443,-10.6167
116,-9.96631,-10.6465
117,-9.96854,-10.6389
118,-10.005,-10.6687
119,-10.1331,-10.6912
120,-10.1095,-10.7161
121,-10.1088,-10.7233
122,-10.0998,-10.7383
123,-10.1585,-10.7925
124,-10.1691,-10.7556
125,-10.1663,-10.8437
126,-10.1441,-10.8587
127,-10.2325,-10.8592
128,-10.2205,-10.8662
129,-10.2402,-10.8708
130,-10.1473,-10.8768
131,-10.2858,-10.9029
132,-10.3055,-10.9351
133,-10.3937,-10.941
134,-10.2063,-10.9332
135,-10.2529,-10.945
136,-10.4478,-11.0001
137,-10.4632,-11.0029
138,-10.2503,-11.0071
139,-10.4167,-11.0144
140,-10.3776,-11.033
141,-10.5028,-11.0669
142,-10.5054,-11.0873
143,-10.602,-11.1023
144,-10.3206,-11.1023
145,-10.5548,-11.1046
146,-10.5348,-11.1353
147,-10.4358,-11.1374
148,-10.6136,-11.1619
149,-10.4848,-11.178
150,-10.5792,-11.2184
151,-10.6134,-11.2305
152,-10.63,-11.2499
153,-10.7185,-11.283
154,-10.6613,-11.2788
155,-10.759,-11.2925
156,-10.7649,-11.3491
157,-10.7092,-11.3769
158,-10.6379,-11.4017
159,-10.5868,-11.4101
160,-10.8015,-11.4158
161,-10.831,-11.4286
162,-10.8833,-11.4391
163,-10.8965,-11.475
164,-10.8252,-11.491
165,-10.9281,-11.4893
166,-10.8155,-11.5337
167,-10.7787,-11.6015
168,-11.0236,-11.6219
169,-10.987,-11.6335
170,-10.9848,-11.6644
171,-10.894,-11.6604
172,-10.8686,-11.6629
173,-10.9572,-11.6551
174,-11.1563,-11.6629
175,-11.0433,-11.7058
176,-11.0024,-11.7106
177,-11.1618,-11.7485
178,-11.1794,-11.7927
179,-11.1423,-11.7913
180,-11.0332,-11.8118
181,-11.0017,-11.8204
182,-11.2582,-11.8172
183,-11.3135,-11.8172
184,-11.2123,-11.8528
185,-11.1906,-11.878
186,-11.0753,-11.9349
187,-11.1677,-11.9429
