Generation,Mean Fitness,Best Fitness
1,-1.62506,-1.58195
2,-1.81157,-1.87522
3,-1.99129,-1.9523
4,-2.15079,-2.1956
5,-2.3115,-2.28884
6,-2.48856,-2.38371
7,-2.65206,-2.61759
8,-2.83443,-2.78918
9,-3.03226,-3.20942
10,-3.22371,-3.22755
11,-3.40792,-3.46443
12,-3.58464,-3.78941
13,-3.78292,-4.00182
14,-3.99469,-3.80472
15,-4.18628,-4.03647
16,-4.39727,-4.4988
17,-4.58524,-4.14424
18,-4.81798,-5.03318
19,-4.95793,-5.09784
20,-5.11022,-5.23256
21,-5.23751,-5.17764
22,-5.40916,-5.19031
23,-5.514,-5.78561
24,-5.70742,-5.79982
25,-5.831,-5.77551
26,-5.93212,-6.15418
27,-5.99869,-6.0006
28,-6.10664,-5.92878
29,-6.18192,-5.95987
30,-6.2497,-6.59906
31,-6.3968,-6.59699
32,-6.48433,-6.29211
33,-6.59192,-6.45476
34,-6.77496,-6.81287
35,-6.78594,-6.63971
36,-6.84505,-7.2636
37,-6.97749,-7.01418
38,-7.02558,-7.26038
39,-7.04048,-7.30728
40,-6.9782,-6.57903
41,-7.10788,-6.85447
42,-7.10934,-7.19995
43,-7.18552,-6.97746
44,-7.2393,-7.28848
45,-7.30104,-7.4212
46,-7.33822,-7.20355
47,-7.38025,-7.74932
48,-7.41865,-7.40514
49,-7.48555,-7.22651
50,-7.51978,-7.68512
51,-7.57117,-7.99019
52,-7.69255,-8.11532
53,-7.76263,-7.44219
54,-7.80599,-7.89112
55,-7.82291,-7.6308
56,-7.84682,-7.52534
57,-7.80212,-8.01836
58,-7.85915,-7.74257
59,-7.88718,-7.86246
60,-7.98457,-7.64423
61,-7.93242,-7.84728
62,-7.93072,-8.10714
63,-7.94338,-7.63367
64,-7.98411,-7.67605
65,-8.01601,-7.75851
66,-8.17052,-8.22247
67,-8.13944,-8.40689
68,-8.09967,-7.85086
69,-8.02663,-8.27594
70,-8.09942,-7.96271
71,-8.15557,-8.18941
72,-8.15668,-8.58239
73,-8.13016,-8.16772
74,-8.2022,-8.32602
75,-8.19507,-7.84473
76,-8.27255,-8.00705
77,-8.34343,-7.98152
78,-8.39584,-8.20591
79,-8.33259,-7.64818
80,-8.26833,-8.16773
81,-8.28241,-8.44545
82,-8.24548,-8.18336
83,-8.29614,-8.25193
84,-8.38424,-8.43592
85,-8.4588,-8.41576
86,-8.55325,-8.08463
87,-8.47048,-8.18197
88,-8.55297,-8.05457
89,-8.63283,-9.21411
90,-8.63916,-8.43616
91,-8.64649,-8.81086
92,-8.58767,-9.48917
93,-8.6354,-8.39681
94,-8.5984,-8.76222
95,-8.61869,-8.73042
96,-8.58559,-8.54209
97,-8.63749,-8.69173
98,-8.62345,-8.99115
99,-8.54216,-9.22969
100,-8.53715,-8.69768
101,-8.53736,-9.03676
102,-8.6539,-9.16557
103,-8.71012,-8.93876
104,-8.74507,-8.42753
105,-8.68113,-8.52729
106,-8.73832,-8.95172
107,-8.8014,-9.00459
108,-8.76367,-8.38883
109,-8.76559,-8.76661
110,-8.77018,-8.71693
111,-8.71742,-8.57081
112,-8.74911,-8.2793
113,-8.68397,-8.72178
114,-8.71319,-9.34073
115,-8.74803,-8.4383
116,-8.77886,-8.27235
117,-8.8405,-9.12405
118,-8.81631,-8.6762
119,-8.79617,-9.32485
120,-8.73128,-8.40605
121,-8.73415,-9.02043
122,-8.74606,-9.5743
123,-8.81016,-7.80128
124,-8.87156,-8.58416
125,-8.89678,-9.32637
126,-8.92452,-9.14027
127,-8.85725,-8.98316
128,-8.94947,-9.19066
129,-8.97495,-9.4349
130,-8.95915,-9.61548
131,-8.92188,-8.39982
132,-9.05552,-8.50011
133,-8.93694,-9.60541
134,-8.84231,-9.50478
135,-8.89938,-8.08567
136,-8.92057,-8.87827
137,-8.98088,-9.06111
138,-8.96267,-8.80221
139,-8.9236,-9.27674
140,-8.96586,-8.78451
141,-9.07979,-8.95281
142,-8.99811,-8.38436
143,-8.98923,-9.33295
144,-9.06118,-9.3367
145,-9.04237,-8.74468
146,-9.0678,-9.08486
147,-9.05193,-8.9972
148,-9.07676,-9.41347
149,-8.89624,-9.60527
150,-9.05173,-9.44116
151,-9.0078,-9.50056
152,-9.02588,-9.25571
153,-9.07697,-9.73038
154,-9.02833,-8.87756
155,-9.07622,-8.79487
156,-9.01601,-9.31726
157,-9.13574,-9.01892
158,-9.07577,-9.16536
159,-9.05612,-9.25623
160,-9.11792,-9.4594
161,-9.12748,-8.10012
162,-9.21636,-9.09128
163,-9.13071,-8.91176
164,-9.23095,-9.83146
165,-9.30412,-9.21679
166,-9.21287,-9.61476
167,-9.21295,-9.12792
168,-9.27347,-9.17352
169,-9.26801,-9.12158
170,-9.21873,-9.03994
171,-9.17245,-9.26015
172,-9.22755,-8.93348
173,-9.09342,-8.53561
174,-9.09923,-9.13601
175,-9.0819,-9.45688
176,-9.23874,-9.11445
177,-9.22738,-8.76671
178,-9.26108,-10.3256
179,-9.40922,-10.0661
180,-9.34773,-9.62051
181,-9.21534,-9.06163
182,-9.26359,-8.98912
183,-9.33573,-9.73509
