Generation,Mean Fitness,Best Fitness
1,25.0121,29.5246
2,26.1351,30.1248
3,27.1305,30.6445
4,27.9809,31.1944
5,28.8143,31.7629
6,29.5778,32.2738
7,30.2575,32.7509
8,30.903,33.213
9,31.5125,33.6148
10,32.075,33.9961
11,32.5906,34.4323
12,33.0633,34.722
13,33.5097,35.1037
14,33.9151,35.4547
15,34.288,35.7231
16,34.6443,35.9512
17,34.9725,36.1669
18,35.2756,36.373
19,35.5561,36.6113
20,35.8185,36.7821
21,36.0588,36.935
22,36.275,37.0686
23,36.4791,37.2213
24,36.6751,37.3774
25,36.8444,37.4671
26,36.9976,37.5766
27,37.1427,37.6872
28,37.2701,37.7614
29,37.4022,37.848
30,37.5247,37.9366
31,37.6348,37.9949
32,37.7288,38.0226
33,37.8088,38.0704
34,37.8764,38.1066
35,37.9385,38.1503
36,37.9908,38.1874
37,38.0388,38.209
38,38.0778,38.2374
39,38.1116,38.2543
40,38.144,38.2625
41,38.174,38.287
42,38.2041,38.3007
43,38.2303,38.3312
44,38.2471,38.3559
45,38.2618,38.3675
46,38.2762,38.38
47,38.292,38.3908
48,38.3129,38.4013
49,38.3342,38.4044
50,38.3536,38.4413
