Generation,Mean Fitness,Best Fitness
1,184.955,112.586
2,169.841,108.067
3,156.932,100.702
4,146.029,94.9034
5,136.39,89.6014
6,127.229,83.8168
7,118.922,76.0814
8,111.295,70.5162
9,104.293,65.9781
10,97.8487,62.2708
11,92.1665,58.2043
12,87.1162,55.2299
13,82.0227,51.8327
14,77.8562,49.3768
15,73.5658,46.868
16,70.0797,45.3126
17,66.699,44.0602
18,63.8023,42.3115
19,61.7458,41.5111
20,59.3885,40.1433
21,56.976,38.901
22,55.169,38.1663
23,53.5147,37.3157
24,52.3894,36.7067
25,50.9165,35.6319
26,50.1808,35.1083
27,48.8845,34.142
28,47.8031,33.7692
29,47.1814,33.0195
30,46.6326,32.3716
31,45.2261,31.7631
32,44.4147,31.4937
33,43.4473,31.2934
34,42.9077,30.5998
35,42.2554,30.3721
36,42.0467,30.1187
37,41.3409,29.6592
38,40.8859,29.3205
39,40.1945,28.9513
40,39.7042,28.3912
41,39.1291,28.1497
42,38.8172,27.7136
43,38.8375,27.5213
44,38.1218,27.1808
45,37.4515,26.9972
46,37.5936,26.5898
47,37.4728,26.4594
48,37.0463,26.1528
49,36.5186,26.0129
50,36.3877,25.696
