Generation,Mean Fitness,Best Fitness
1,25.2667,30.6677
2,26.3721,30.6677
3,27.3024,31.2429
4,28.2471,31.8337
5,29.1814,32.3473
6,30.5336,33.3384
7,31.4479,34.4528
8,32.0076,35.0131
9,32.3828,35.0613
10,32.7885,35.0131
11,33.3519,34.873
12,33.8469,35.1034
13,34.2529,35.571
14,34.6327,35.8911
15,35.0068,35.9719
16,35.3038,36.507
17,35.5643,36.8787
18,35.7872,36.8787
19,36.1568,36.8987
20,36.4176,37.4223
21,36.6645,37.4848
22,36.9212,37.4861
23,37.1133,38.0319
24,37.2694,38.0319
25,37.466,38.0319
26,37.6581,38.1939
27,37.823,38.209
28,37.9243,38.2098
29,38.0478,38.2098
30,38.1056,38.3928
31,38.1833,38.5212
32,38.225,38.4285
33,38.288,38.4298
34,38.334,38.4854
35,38.4067,38.5471
36,38.438,38.7218
37,38.4867,38.7218
38,38.5151,38.7218
39,38.5668,38.7218
40,38.6201,38.7227
41,38.6758,38.7218
42,38.6991,38.7218
43,38.7168,38.7218
44,38.7218,38.7218
45,38.7218,38.7218
46,38.7218,38.7218
47,38.7218,38.7218
48,38.7218,38.7218
49,38.7218,38.7218
50,38.7218,38.7218
