Generation,Mean Fitness,Best Fitness
1,185.046,113.525
2,167.479,105.861
3,151.568,98.0344
4,137.392,88.1552
5,124.868,80.0617
6,113.696,74.2629
7,103.729,68.8308
8,94.7501,63.5995
9,86.7272,58.9169
10,79.4249,55.8505
11,73.0893,52.024
12,67.5955,48.4141
13,62.7169,46.6544
14,58.6978,44.8935
15,54.9751,42.6421
16,51.8193,41.4513
17,49.0193,40.0182
18,46.6334,39.3936
19,44.6907,38.6448
20,43.1101,37.7037
21,41.6069,37.3089
22,40.5426,36.8071
23,39.6573,36.2468
24,38.9665,35.9598
25,38.4036,35.8581
26,37.8273,35.5436
27,37.3516,35.4853
28,36.931,35.246
29,36.6109,34.6705
30,36.3183,34.4563
31,35.9855,34.1217
32,35.6574,33.7839
33,35.3733,33.6067
34,35.0433,33.606
35,34.761,33.2904
36,34.4538,32.9965
37,34.2163,32.9152
38,33.9918,32.7254
39,33.8086,32.6023
40,33.5872,32.5706
41,33.4608,32.3774
42,33.2617,32.112
43,33.1322,31.95
44,32.9615,31.8043
45,32.776,31.7364
46,32.674,31.5563
47,32.5415,31.5347
48,32.2449,31.3508
49,32.2202,31.295
50,32.0069,30.8934
