Generation,Mean Fitness,Best Fitness
1,185.54,113.836
2,168.082,104.833
3,151.325,96.1242
4,137.511,83.1858
5,124.994,74.7956
6,113.438,67.5032
7,103.955,60.1836
8,94.5604,53.6891
9,86.0645,47.7357
10,78.2914,41.288
11,70.481,37.3063
12,63.7054,33.5542
13,57.4351,29.6948
14,51.7311,26.7569
15,45.9578,24.395
16,41.1748,22.5072
17,36.8376,20.8938
18,32.9159,19.279
19,29.4972,18.2066
20,26.5154,17.5295
21,24.0672,16.5437
22,21.9979,15.9269
23,20.3936,15.5418
24,19.081,15.1075
25,17.8744,14.8442
26,16.995,14.6296
27,16.2937,14.3658
28,15.7477,14.1954
29,15.2873,14.0985
30,14.9069,14.0073
31,14.578,13.9205
32,14.3909,13.8391
33,14.2847,13.7754
34,14.1421,13.7318
35,14.0348,13.7019
36,13.9619,13.6618
37,13.9127,13.6325
38,13.843,13.6066
39,13.806,13.5799
40,13.8034,13.5684
41,13.7397,13.5557
42,13.691,13.5482
43,13.6682,13.549
44,13.6306,13.5424
45,13.6016,13.5366
46,13.5912,13.5455
47,13.5755,13.5415
48,13.5709,13.5357
49,13.5649,13.533
50,13.5514,13.5302
