Generation,Mean Fitness,Best Fitness
1,360.372,211.461
2,720.744,424.262
3,1081.12,664.754
4,1441.49,891.1
5,1801.86,1171.09
6,2162.23,1455.56
7,2522.6,1673.94
8,2882.97,1927.34
9,3243.35,2213.14
10,3603.72,2480.34
11,3964.09,2738.38
12,4324.46,2959.84
13,4684.83,3207.14
14,5045.21,3460.9
15,5405.58,3733.02
16,5765.95,3998.76
17,6126.32,4270.88
18,6486.69,4532.24
19,6847.06,4801.74
20,7207.44,5063.11
21,7567.81,5332.6
22,7928.18,5555.68
23,8288.55,5787.93
24,8648.92,6062.95
25,9009.3,6295.2
26,9369.67,6564.01
27,9730.04,6831.79
28,10090.4,7106.51
29,10450.8,7321.43
30,10811.2,7566.42
31,11171.5,7781.33
32,11531.9,8033.8
33,11892.3,8277.09
34,12252.6,8501.18
35,12613,8730.53
36,12973.4,8959.89
37,13333.8,9186.45
38,13694.1,9427.54
39,14054.5,9687.55
40,14414.9,9960.81
41,14775.3,10231.9
42,15135.6,10494.4
43,15496,10768.5
44,15856.4,10999.4
45,16216.7,11263.1
46,16577.1,11540.3
47,16937.5,11781.3
48,17297.9,12058.3
49,17658.2,12305.3
50,18018.6,12588.9
