Generation,Mean Fitness,Best Fitness
1,185.313,114.999
2,168.064,108.665
3,153.785,101.478
4,141.273,93.1262
5,129.989,85.3063
6,119.65,78.1145
7,110.382,72.1267
8,101.552,66.1281
9,93.0895,61.8773
10,86.0162,58.3147
11,79.4655,55.359
12,73.9048,51.5729
13,68.8604,49.0905
14,64.4983,46.6534
15,60.9752,44.6337
16,57.4969,42.8999
17,54.6622,41.4512
18,52.0127,40.567
19,49.7682,40.1389
20,47.745,39.2699
21,45.9948,38.4879
22,44.679,37.7868
23,43.7177,37.4024
24,42.779,36.9258
25,41.9151,36.4864
26,41.1232,35.9783
27,40.3819,35.6128
28,40.0226,35.1079
29,39.5785,34.7865
30,39.2198,34.6632
31,38.6351,34.2068
32,38.3646,33.5943
33,37.6334,33.2418
34,37.4329,32.988
35,37.1109,32.5007
36,36.5489,31.9601
37,36.125,31.7081
38,35.8075,31.121
39,35.4054,30.9225
40,35.0022,30.8227
41,34.8103,30.6107
42,34.4903,30.2449
43,33.8765,30.0359
44,33.4915,29.9424
45,33.2968,29.7003
46,33.123,29.5621
47,32.7888,29.2173
48,32.4517,28.7933
49,32.471,28.6467
50,32,28.3033
